sep=,
"_time","DERIVED_LEXI_DEC_J2000_rad","DERIVED_LEXI_RA_J2000_rad"
2025-03-04 01:36:54,-21.6 °,-134 °
2025-03-04 01:37:14,-21.6 °,-134 °
2025-03-04 01:37:34,-21.6 °,-134 °
2025-03-04 01:37:54,-21.6 °,-134 °
2025-03-04 01:38:14,-21.6 °,-134 °
2025-03-04 01:38:34,-21.6 °,-134 °
2025-03-04 01:38:54,-21.6 °,-134 °
2025-03-04 01:39:14,-21.6 °,-134 °
2025-03-04 01:39:34,-21.6 °,-134 °
2025-03-04 01:39:57,-21.6 °,-134 °
2025-03-04 01:40:14,-21.6 °,-134 °
2025-03-04 01:40:37,-21.6 °,-134 °
2025-03-04 01:40:57,-21.6 °,-134 °
2025-03-04 01:41:17,-21.6 °,-134 °
2025-03-04 01:41:39,-21.6 °,-134 °
2025-03-04 01:41:59,-21.6 °,-134 °
2025-03-04 01:42:17,-21.6 °,-134 °
2025-03-04 01:42:39,-21.6 °,-134 °
2025-03-04 01:42:59,-21.6 °,-134 °
2025-03-04 01:43:17,-21.6 °,-134 °
2025-03-04 01:43:39,-21.6 °,-134 °
2025-03-04 01:44:02,-21.6 °,-134 °
2025-03-04 01:44:19,-21.6 °,-134 °
2025-03-04 01:44:42,-21.6 °,-134 °
2025-03-04 01:45:02,-21.6 °,-134 °
2025-03-04 01:45:22,-21.6 °,-134 °
2025-03-04 01:45:42,-21.6 °,-134 °
2025-03-04 01:46:02,-21.6 °,-134 °
2025-03-04 01:46:24,-21.6 °,-134 °
2025-03-04 01:46:42,-21.6 °,-134 °
2025-03-04 01:47:04,-21.6 °,-134 °
2025-03-04 01:47:24,-21.6 °,-134 °
2025-03-04 01:47:44,-21.6 °,-134 °
2025-03-04 01:48:04,-21.6 °,-134 °
2025-03-04 01:48:24,-21.6 °,-134 °
2025-03-04 01:48:44,-21.6 °,-134 °
2025-03-04 01:49:04,-21.6 °,-134 °
2025-03-04 01:49:24,-21.6 °,-134 °
2025-03-04 01:49:44,-21.6 °,-134 °
2025-03-04 01:50:04,-21.6 °,-134 °
2025-03-04 01:50:24,-21.6 °,-134 °
2025-03-04 01:50:44,-21.7 °,-134 °
2025-03-04 01:51:04,-21.7 °,-134 °
2025-03-04 01:51:24,-21.7 °,-134 °
2025-03-04 01:51:44,-21.7 °,-134 °
2025-03-04 01:52:02,-21.7 °,-134 °
2025-03-04 01:52:22,-21.7 °,-134 °
2025-03-04 01:52:42,-21.7 °,-134 °
2025-03-04 01:53:07,-21.7 °,-134 °
2025-03-04 01:53:27,-21.7 °,-134 °
2025-03-04 01:53:47,-21.7 °,-134 °
2025-03-04 01:54:09,-21.7 °,-134 °
2025-03-04 01:54:29,-21.7 °,-134 °
2025-03-04 02:14:56,-21.7 °,-134 °
2025-03-04 02:15:36,-21.7 °,-134 °
2025-03-04 02:15:56,-21.7 °,-134 °
2025-03-04 02:16:36,-21.7 °,-134 °
2025-03-04 02:16:57,-21.7 °,-134 °
2025-03-04 02:22:37,-21.8 °,-134 °
2025-03-04 02:22:59,-21.8 °,-134 °
2025-03-04 02:23:38,-21.8 °,-134 °
2025-03-04 02:23:59,-21.8 °,-134 °
2025-03-04 02:24:39,-21.8 °,-134 °
2025-03-04 02:24:59,-21.8 °,-134 °
2025-03-04 02:25:19,-21.8 °,-134 °
2025-03-04 02:25:39,-21.8 °,-134 °
2025-03-04 02:26:02,-21.8 °,-134 °
2025-03-04 02:26:22,-21.8 °,-134 °
2025-03-04 02:26:42,-21.8 °,-134 °
2025-03-04 02:27:02,-21.8 °,-134 °
2025-03-04 02:27:22,-21.8 °,-134 °
2025-03-04 02:27:42,-21.8 °,-134 °
2025-03-04 02:28:02,-21.8 °,-134 °
2025-03-04 02:28:22,-21.8 °,-134 °
2025-03-04 02:28:42,-21.8 °,-134 °
2025-03-04 02:29:04,-21.8 °,-134 °
2025-03-04 02:29:22,-21.8 °,-134 °
2025-03-04 02:29:44,-21.8 °,-134 °
2025-03-04 02:30:04,-21.8 °,-134 °
2025-03-04 02:30:24,-21.8 °,-134 °
2025-03-04 02:30:44,-21.8 °,-134 °
2025-03-04 02:31:04,-21.8 °,-134 °
2025-03-04 02:31:24,-21.8 °,-134 °
2025-03-04 02:31:44,-21.8 °,-134 °
2025-03-04 02:32:04,-21.8 °,-134 °
2025-03-04 02:32:24,-21.8 °,-134 °
2025-03-04 02:32:44,-21.8 °,-134 °
2025-03-04 02:33:04,-21.8 °,-134 °
2025-03-04 02:33:24,-21.8 °,-134 °
2025-03-04 02:33:44,-21.8 °,-134 °
2025-03-04 02:34:04,-21.8 °,-134 °
2025-03-04 02:34:24,-21.8 °,-134 °
2025-03-04 02:34:44,-21.8 °,-134 °
2025-03-04 02:35:04,-21.8 °,-134 °
2025-03-04 02:35:27,-21.8 °,-134 °
2025-03-04 02:35:47,-21.8 °,-134 °
2025-03-04 02:36:07,-21.8 °,-134 °
2025-03-04 02:36:27,-21.8 °,-134 °
2025-03-04 02:36:47,-21.8 °,-134 °
2025-03-04 02:37:09,-21.8 °,-134 °
2025-03-04 02:37:29,-21.8 °,-134 °
2025-03-04 02:37:47,-21.8 °,-134 °
2025-03-04 02:38:09,-21.8 °,-134 °
2025-03-04 02:38:29,-21.8 °,-134 °
2025-03-04 02:38:49,-21.8 °,-134 °
2025-03-04 02:39:09,-21.8 °,-134 °
2025-03-04 02:39:29,-21.8 °,-134 °
2025-03-04 02:39:52,-21.8 °,-134 °
2025-03-04 02:40:12,-21.8 °,-134 °
2025-03-04 02:40:32,-21.8 °,-134 °
2025-03-04 02:40:52,-21.8 °,-134 °
2025-03-04 02:41:12,-21.8 °,-134 °
2025-03-04 02:41:32,-21.8 °,-134 °
2025-03-04 02:41:52,-21.8 °,-134 °
2025-03-04 02:42:12,-21.8 °,-134 °
2025-03-04 02:42:32,-21.8 °,-134 °
2025-03-04 02:42:54,-21.8 °,-134 °
2025-03-04 02:43:14,-21.8 °,-134 °
2025-03-04 02:43:34,-21.8 °,-134 °
2025-03-04 02:43:54,-21.8 °,-134 °
2025-03-04 02:44:14,-21.8 °,-134 °
2025-03-04 02:44:34,-21.8 °,-134 °
2025-03-04 02:44:54,-21.8 °,-134 °
2025-03-04 02:45:14,-21.8 °,-134 °
2025-03-04 02:45:34,-21.8 °,-134 °
2025-03-04 02:45:54,-21.8 °,-134 °
2025-03-04 02:46:14,-21.8 °,-134 °
2025-03-04 02:46:34,-21.8 °,-134 °
2025-03-04 02:46:54,-21.8 °,-134 °
2025-03-04 02:47:14,-21.8 °,-134 °
2025-03-04 02:47:34,-21.8 °,-134 °
2025-03-04 03:06:44,-21.9 °,-133 °
2025-03-04 03:07:24,-21.9 °,-133 °
2025-03-04 03:07:44,-21.9 °,-133 °
2025-03-04 03:08:04,-21.9 °,-133 °
2025-03-04 03:08:24,-21.9 °,-133 °
2025-03-04 03:08:44,-21.9 °,-133 °
2025-03-04 03:09:04,-21.9 °,-133 °
2025-03-04 03:09:24,-21.9 °,-133 °
2025-03-04 03:09:44,-21.9 °,-133 °
2025-03-04 03:10:04,-21.9 °,-133 °
2025-03-04 03:10:25,-21.9 °,-133 °
2025-03-04 03:10:45,-21.9 °,-133 °
2025-03-04 03:11:05,-21.9 °,-133 °
2025-03-04 03:11:25,-21.9 °,-133 °
2025-03-04 03:11:45,-21.9 °,-133 °
2025-03-04 03:12:05,-21.9 °,-133 °
2025-03-04 03:12:27,-21.9 °,-133 °
2025-03-04 03:12:45,-21.9 °,-133 °
2025-03-04 03:13:05,-21.9 °,-133 °
2025-03-04 03:13:27,-21.9 °,-133 °
2025-03-04 03:13:47,-21.9 °,-133 °
2025-03-04 03:14:09,-21.9 °,-133 °
2025-03-04 03:14:27,-21.9 °,-133 °
2025-03-04 03:14:47,-21.9 °,-133 °
2025-03-04 03:15:09,-21.9 °,-133 °
2025-03-04 03:15:29,-21.9 °,-133 °
2025-03-04 03:15:49,-21.9 °,-133 °
2025-03-04 03:16:09,-21.9 °,-133 °
2025-03-04 03:16:29,-21.9 °,-133 °
2025-03-04 03:16:52,-21.9 °,-133 °
2025-03-04 03:17:12,-21.9 °,-133 °
2025-03-04 03:17:32,-21.9 °,-133 °
2025-03-04 03:17:52,-21.9 °,-133 °
2025-03-04 03:18:12,-21.9 °,-133 °
2025-03-04 03:18:32,-21.9 °,-133 °
2025-03-04 03:18:52,-21.9 °,-133 °
2025-03-04 03:19:12,-21.9 °,-133 °
2025-03-04 03:19:34,-21.9 °,-133 °
2025-03-04 03:19:54,-21.9 °,-133 °
2025-03-04 03:20:14,-21.9 °,-133 °
2025-03-04 03:20:34,-21.9 °,-133 °
2025-03-04 03:20:54,-21.9 °,-133 °
2025-03-04 03:21:14,-21.9 °,-133 °
2025-03-04 03:21:34,-21.9 °,-133 °
2025-03-04 03:21:54,-21.9 °,-133 °
2025-03-04 03:22:14,-21.9 °,-133 °
2025-03-04 03:22:34,-21.9 °,-133 °
2025-03-04 03:22:54,-21.9 °,-133 °
2025-03-04 03:23:14,-21.9 °,-133 °
2025-03-04 03:23:34,-21.9 °,-133 °
2025-03-04 03:23:54,-21.9 °,-133 °
2025-03-04 03:24:14,-21.9 °,-133 °
2025-03-04 03:24:34,-21.9 °,-133 °
2025-03-04 03:24:57,-21.9 °,-133 °
2025-03-04 03:25:14,-22.0 °,-133 °
2025-03-04 03:25:37,-22.0 °,-133 °
2025-03-04 03:25:57,-22.0 °,-133 °
2025-03-04 03:26:17,-22.0 °,-133 °
2025-03-04 03:26:37,-22.0 °,-133 °
2025-03-04 03:26:59,-22.0 °,-133 °
2025-03-04 03:27:17,-22.0 °,-133 °
2025-03-04 03:27:39,-22.0 °,-133 °
2025-03-04 03:27:59,-22.0 °,-133 °
2025-03-04 03:28:19,-22.0 °,-133 °
2025-03-04 03:28:39,-22.0 °,-133 °
2025-03-04 03:28:59,-22.0 °,-133 °
2025-03-04 03:29:22,-22.0 °,-133 °
2025-03-04 03:29:42,-22.0 °,-133 °
2025-03-04 03:30:02,-22.0 °,-133 °
2025-03-04 03:30:22,-22.0 °,-133 °
2025-03-04 03:30:42,-22.0 °,-133 °
2025-03-04 03:31:02,-22.0 °,-133 °
2025-03-04 03:31:22,-22.0 °,-133 °
2025-03-04 03:31:42,-22.0 °,-133 °
2025-03-04 03:32:02,-22.0 °,-133 °
2025-03-04 03:32:24,-22.0 °,-133 °
2025-03-04 03:32:44,-22.0 °,-133 °
2025-03-04 03:33:04,-22.0 °,-133 °
2025-03-04 03:33:24,-22.0 °,-133 °
2025-03-04 03:33:44,-22.0 °,-133 °
2025-03-04 03:53:51,-22.1 °,-133 °
2025-03-04 03:54:11,-22.1 °,-133 °
2025-03-04 03:54:31,-22.1 °,-133 °
2025-03-04 03:54:52,-22.1 °,-133 °
2025-03-04 03:55:11,-22.1 °,-133 °
2025-03-04 03:55:32,-22.1 °,-133 °
2025-03-04 03:55:52,-22.1 °,-133 °
2025-03-04 03:56:32,-22.1 °,-133 °
2025-03-04 03:56:52,-22.1 °,-133 °
2025-03-04 03:57:12,-22.1 °,-133 °
2025-03-04 03:57:32,-22.1 °,-133 °
2025-03-04 03:57:52,-22.1 °,-133 °
2025-03-04 03:58:14,-22.1 °,-133 °
2025-03-04 03:58:34,-22.1 °,-133 °
2025-03-04 03:58:54,-22.1 °,-133 °
2025-03-04 03:59:14,-22.1 °,-133 °
2025-03-04 03:59:34,-22.1 °,-133 °
2025-03-04 03:59:54,-22.1 °,-133 °
2025-03-04 04:00:14,-22.1 °,-133 °
2025-03-04 04:00:34,-22.1 °,-133 °
2025-03-04 04:00:54,-22.1 °,-133 °
2025-03-04 04:01:14,-22.1 °,-133 °
2025-03-04 04:01:34,-22.1 °,-133 °
2025-03-04 04:01:54,-22.1 °,-133 °
2025-03-04 04:02:14,-22.1 °,-133 °
2025-03-04 04:02:34,-22.1 °,-133 °
2025-03-04 04:02:54,-22.1 °,-133 °
2025-03-04 04:03:14,-22.1 °,-133 °
2025-03-04 04:03:37,-22.1 °,-133 °
2025-03-04 04:03:57,-22.1 °,-133 °
2025-03-04 04:04:14,-22.1 °,-133 °
2025-03-04 04:04:37,-22.1 °,-133 °
2025-03-04 04:04:57,-22.1 °,-133 °
2025-03-04 04:05:17,-22.1 °,-133 °
2025-03-04 04:05:37,-22.1 °,-133 °
2025-03-04 04:05:59,-22.1 °,-133 °
2025-03-04 04:06:19,-22.1 °,-133 °
2025-03-04 04:06:39,-22.1 °,-133 °
2025-03-04 04:06:59,-22.1 °,-133 °
2025-03-04 04:07:19,-22.1 °,-133 °
2025-03-04 04:07:39,-22.1 °,-133 °
2025-03-04 04:08:02,-22.1 °,-133 °
2025-03-04 04:08:22,-22.1 °,-133 °
2025-03-04 04:08:42,-22.1 °,-133 °
2025-03-04 04:09:02,-22.1 °,-133 °
2025-03-04 04:09:22,-22.1 °,-133 °
2025-03-04 04:09:42,-22.1 °,-133 °
2025-03-04 04:10:02,-22.1 °,-133 °
2025-03-04 04:10:22,-22.1 °,-133 °
2025-03-04 04:10:44,-22.1 °,-133 °
2025-03-04 04:11:04,-22.1 °,-133 °
2025-03-04 04:11:24,-22.1 °,-133 °
2025-03-04 04:11:44,-22.1 °,-133 °
2025-03-04 04:12:04,-22.1 °,-133 °
2025-03-04 04:12:24,-22.1 °,-133 °
2025-03-04 04:12:44,-22.1 °,-133 °
2025-03-04 04:13:04,-22.1 °,-133 °
2025-03-04 04:13:24,-22.1 °,-133 °
2025-03-04 04:13:44,-22.1 °,-133 °
2025-03-04 04:14:04,-22.1 °,-133 °
2025-03-04 04:14:24,-22.1 °,-133 °
2025-03-04 04:14:44,-22.1 °,-133 °
2025-03-04 04:15:04,-22.1 °,-133 °
2025-03-04 04:15:24,-22.1 °,-133 °
2025-03-04 04:15:44,-22.1 °,-133 °
2025-03-04 04:16:04,-22.1 °,-133 °
2025-03-04 04:16:24,-22.1 °,-133 °
2025-03-04 04:16:44,-22.1 °,-133 °
2025-03-04 04:17:07,-22.1 °,-133 °
2025-03-04 04:17:27,-22.1 °,-133 °
2025-03-04 04:17:47,-22.1 °,-133 °
2025-03-04 04:18:07,-22.1 °,-133 °
2025-03-04 04:18:29,-22.1 °,-133 °
2025-03-04 04:18:47,-22.1 °,-133 °
2025-03-04 04:19:09,-22.1 °,-133 °
2025-03-04 04:19:29,-22.1 °,-133 °
2025-03-04 04:19:49,-22.1 °,-133 °
2025-03-04 04:20:09,-22.1 °,-133 °
2025-03-04 04:20:29,-22.1 °,-133 °
2025-03-04 04:20:52,-22.1 °,-133 °
2025-03-04 04:21:09,-22.2 °,-133 °
2025-03-04 04:21:32,-22.2 °,-133 °
2025-03-04 04:44:59,-22.2 °,-132 °
2025-03-04 04:45:59,-22.2 °,-132 °
2025-03-04 04:46:39,-22.2 °,-132 °
2025-03-04 04:46:59,-22.2 °,-132 °
2025-03-04 04:47:39,-22.2 °,-132 °
2025-03-04 04:47:59,-22.2 °,-132 °
2025-03-04 04:48:19,-22.2 °,-132 °
2025-03-04 04:48:39,-22.2 °,-132 °
2025-03-04 04:48:59,-22.2 °,-132 °
2025-03-04 04:49:22,-22.2 °,-132 °
2025-03-04 04:49:42,-22.2 °,-132 °
2025-03-04 04:50:02,-22.2 °,-132 °
2025-03-04 04:50:22,-22.2 °,-132 °
2025-03-04 04:50:42,-22.2 °,-132 °
2025-03-04 04:51:02,-22.2 °,-132 °
